brewerySlug,beerSlug,name,beers,description,beerStyle,malts,hops,line1,line2,abv,ibu,originalGravity,availability,Image,pageImage,mapImage,Calories,carb,beerurl,mainImage
thunderhead,cropduster,Cropduster Mid-American IPA,Cropduster Mid-American IPA,Rusty color. Sweet malts for smell. Flavor is bold and sort of smoky with a good malty presence. Overall this a unique in a good way IPA.,IPA,,,,,6.5,75,,"On Tap, 12oz 6-Pack",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fthunderhead%2Fbeers%2Fcropduster%2Fcropduster.png?alt=media,,,,
pintnine,cloudjumper,Cloud Jumper,Cloud Jumper,"This New England Pale Ale is dry, has hints of citrus, and is crisp & velvety.",New England Pale Ale,,,,,5.2,25,,"On Tap, 16oz 6-Pack",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fpintnine%2Fbeers%2Fcloudjumper%2Fcloudjumper.png?alt=media,,,,
pintnine,brightside,Brightside Honey Hibiscus Ale,Brightside Honey Hibiscus Ale,"Tart, earthy note, fruity, dry, refreshing honey ale",Honey Hibiscus Ale, ,,,,6.9,4.2,,"On Tap, 16oz 6-Pack",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/static%2Femptycan.png?alt=media,,,,
pintnine,false-idol,False Idol,False Idol,"This IPA features El Dprado, Citra and Idaho 7 hops and shows great flavors of tangerine, melon and pineapple.",IPA,,,,,6.7,25,,,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fpintnine%2Fbeers%2Ffalse-idol%2Ffalse-idol.PNG?alt=media,,,,
pintnine,suckerspunch,Sucker's Punch,Sucker's Punch,Sour ale with mangos,Sour Mango,,,,,5,n/a,,"On Tap, 16oz 6-Pack",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/static%2Femptycan.png?alt=media,,,,
pintnine,osocoffee,Oso Coffee,Oso Coffee,This coffee brown ale has is rich & roasty and has hints of hazelnut. ,Coffee Brown Ale,,,,,5.6,15,,"On Tap, 16oz 6-Pack",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fpintnine%2Fbeers%2Fosocoffee%2Fosocoffee.png?alt=media,,,,
pintnine,ipa,IPA,IPA,This IPA is contains stone fruits and is dry and hoppy,IPA,,,,,7,65,,"On Tap, 16oz 6-Pack",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fpintnine%2Fbeers%2Fipa%2Fipa.png?alt=media,,,,
infusion,brown,Dominican Brown Ale,Dominican Brown Ale,"Slight roast, brilliant toasted brown sugar flavor with nice chocolate and light carmel backbone to the malt. Pours with a light tan head.",Brown Ale,,,,,6.8,16,,On Tap . 6-Pack Bottles . 12-Pack Cans,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Finfusion%2Fbeers%2Fbrown%2Fbrown.png?alt=media,,,,
infusion,vbb-pumpkin,Pumpkin Vanilla Bean,Pumpkin Vanilla Bean,Nothing welcomes fall quite like the flavors of pumpkin and spice. Our classic Vanilla Bean Blonde has been blended with a generous addition of smooth pumpkin goodness and a hint of spice for a perfect fall time treat.,Pumpkin Yam Beer,,,,,4.8,16,,On Tap . 6-Pack Bottles . 12-Pack Cans,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Finfusion%2Fbeers%2Fvbb-pumpkin%2Fvbb-pumpkin.png?alt=media,,,,
infusion,wild-white-peach,Wild White Peach Hard Seltzer ,Wild White Peach Hard Seltzer ,"Take a bite out of this juicy peach! This invigorating seltzer brings out subtle hints of peach. If I had my little way, I’d drink Wild White Peach Seltzer every day.",Hard Seltzer,,,,,6,n/a,,,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Finfusion%2Fbeers%2Fwild-white-peach%2Fwild-white-peach.png?alt=media,,,,
infusion,pistachio,Pistachio Porter,Pistachio Porter,"Brewed with English malts and a generous amount of cocoa powder. This beer is warming and full bodied. As the brew warms, the chocolate character and sweetness rolls out of the top of the glass.",Porter,,,,,5,33,,,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Finfusion%2Fbeers%2Fpistachio%2Fpistachio.PNG?alt=media,,,,
infusion,cucumber-lime,Cucumber Lime Hard Seltzer,Cucumber Lime Hard Seltzer,"Some things just go together like peas and carrots but maybe not in a seltzer. We opted for fresh cucumber and lime, you’re welcome.",Hard Seltzer,,,,,6,n/a,,,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Finfusion%2Fbeers%2Fcucumber-lime%2Fcucumber-lime.PNG?alt=media,,,,
infusion,pineapple-mango,Pineapple Mango Hard Seltzer,Pineapple Mango Hard Seltzer,"Pineapples, mangoes and bubbles, OH MY! Full of flavors that pack a punch, this hard seltzer takes you to a tropical paradise",Hard Seltzer,,,,,4.8,n/a,,,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Finfusion%2Fbeers%2Fpineapple-mango%2Fpineapple-mango.png?alt=media,,,,
infusion,squatcho,El Squatcho Mexican Lager,El Squatcho Mexican Lager,"It goes by many names, but around here it's El Squatcho. Rumored to quench even the biggest of thirsts, this Mexican style lager is light, crisp and crushable.",Lager,,,,,4.3,22,,On Tap . 6-Pack Bottles . 12-Pack Cans,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Finfusion%2Fbeers%2Fsquatcho%2Fsquatcho.png?alt=media,,,,
infusion,vbb-mexican,Infusion Mexican Vanilla Bean Blonde Ale,Infusion Mexican Vanilla Bean Blonde Ale,"To celebrate our seventh birthday we decided to have some fun with our flagship beer, replacing the usual Madagascar vanilla with Mexican vanilla for a fun twist on an old favorite. Rich, creamy with big notes of cinnamon we think you will enjoy this liquid birthday cake!",Mexican Blonde,,,,,4.8,16,,On Tap . 6-Pack Bottles . 12-Pack Cans,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/static%2Femptycan.png?alt=media,,,,
infusion,vanilla-bean,Vanilla Bean Blonde Ale,Vanilla Bean Blonde Ale,"This blonde ale is smooth with vanilla and Bready notes. Hopped only to balance the beer, this is an easy drinking ale.",Blonde Ale,n/a,n/a,,"Vanillia, Light, Smooth",4.8,16,,On Tap . 6-Pack Bottles . 12-Pack Cans,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Finfusion%2Fbeers%2Fvanilla-bean%2Fvanilla-bean.png?alt=media,,,,
infusion,pineapplecoconut,Pineapple Coconut Vanilla Bean Blonde,Pineapple Coconut Bean Vanilla Blonde ,Our Vanilla Bean Blonde ale with Pineapples and Coconut.,Pineapple Coconut Ale,,,,,4.8,18,,On Tap . 6-Pack Bottles . 12-Pack Cans,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Finfusion%2Fbeers%2Fpineapplecoconut%2Fpineapplecoconut.png?alt=media,,,,
infusion,radial,Radial IPA,Radial IPA,"Radial is Infusion's way of thanking the West Coast for providing us with an incredible IPA. This Brash beer is light in color and packed full of hoppy goodness. With over 22 pounds of American hops, this should please even the craziest hophead.",IPA,,,,,6.8,84,,On Tap . 6-Pack Bottles . 12-Pack Cans,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Finfusion%2Fbeers%2Fradial%2Fradial.png?alt=media,,,,
flyover,blackbird,Blackbird Schwarzbier,Blackbird Schwarzbier,"Dark German lager with a lighter body, smooth roast character and a crisp finish.",,,,,,4.2,,,On Tap . 6-Pack Bottles . 12-Pack Cans,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fflyover%2Fbeers%2Fblackbird%2Fblackbird.png?alt=media,,,,
flyover,npa,Nebraska Pale Ale,Nebraska Pale Ale,"A somewhat hazy & fruity, strong pale ale. The hops create juicy apricot, over-ripe mango and orange zest flavor with a mild bitterness into the finish.",,,,,,6,,,On Tap . 6-Pack Bottles . 12-Pack Cans,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fflyover%2Fbeers%2Fnpa%2Fnpa.png?alt=media,,,,
flyover,hellcat,Hellcat Helles,Hellcat Helles,Easy drinking lager with a pleasant pilsner malt sweetness and fresh noble hop aroma.,,,,,,4.8,,,On Tap . 6-Pack Bottles . 12-Pack Cans,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fflyover%2Fbeers%2Fhellcat%2Fhellcat.png?alt=media,,,,
whiteelm,harrow,Harrow Saison,Harrow Saison,"Traditional Farmhouse style ale brewed with Wallonian saison yeast strain, Pilsner Barley, Wheat Malt, and Czech Saaz hops.",Farmhouse Ale - Saison,,,,,6.5,n/a,,On Tap . 16oz 4-Pack Can,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fwhiteelm%2Fbeers%2Fharrow%2Fharrow.png?alt=media,,,,
whiteelm,small-batch,Small Batch Special,Small Batch Special,A small batch offering from White Elm. Call store or come in for more details.,Small Batch,,,,,0,n/a,,,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/static%2Femptycan.png?alt=media,,,,
whiteelm,mega-cd,Mega C & D Chocalate Sandwich Cookie Stout,Mega C & D Chocalate Sandwich Cookie Stout,"As it turns out, a certain multi-national corporation was not so happy with our beer names, or at least one specifically. In honor of our first cease and desist, we brewed an imperial version of said now-nameless beer. Let's keep this imperial chocolate cookie sandwich beer on the low-low though, they seemed really serious. A strong stout not for the faith of heart.",Chocolate Cookie Stout,,,,,12.5,n/a,,,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fwhiteelm%2Fbeers%2Fmega-cd%2Fmega-cd.png?alt=media,,,,
whiteelm,pma,PMA - Positive Mental Attitude,PMA - Positive Mental Attitude,A unique American Pale Ale from yours truly.,Pale Ale,,,,,5.9,n/a,,,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fwhiteelm%2Fbeers%2Fpma%2Fpma.PNG?alt=media,,,,
whiteelm,inverted-mosaic,Inverted Mosaic Double IPA,Inverted Mosaic Double IPA,A strong double IPA for those who love complex hoppy flavors.,Double IPA,,,,,8,60,,,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fwhiteelm%2Fbeers%2Finverted-mosiac%2Finverted-mosaic.png?alt=media,,,,
whiteelm,rollo,Rollo,Rollo,"Classic German malt bill meets American Equinox, Citra & El Dorado hops for a sessionable, aromatic flavor",Wheat Pale,,,,,5.1,36,,,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fwhiteelm%2Fbeers%2Frollo%2Frollo.PNG?alt=media,,,,
whiteelm,atypical-deviation,Atypical Deviation,Atypical Deviation,A strong unique brew for the inquisitive at heart.,,,,,,10,n/a,,,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fwhiteelm%2Fbeers%2Fatypical-deviation%2Fatypical-deviation.PNG?alt=media,,,,
whiteelm,paradigm-shift,Paradigm Shift,Paradigm Shift,"A traveling companion of an IPA, Paradigm Shift offers all of the brilliant hop character of a more robust IPA in a sessionable package. Cheers to your next adventure.",IPA session,,,,,4.3,n/a,,,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/static%2Femptycan.png?alt=media,,,,
whiteelm,prost,Prost!,Prost!,"A silky smooth and pleasant festbier with hints of clove, banana, and vanilla bread. ",Festbier,,,,,6,n/a,,,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fwhiteelm%2Fbeers%2Fprost%2Fprost.PNG?alt=media,,,,
whiteelm,malverde,Malverde,Malverde,"Mexican Style Lager made with Pilsner Malt, Corn, and Neomexicanus Hops",,,,,,5,n/a,,,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fwhiteelm%2Fbeers%2Fmalverde%2Fmalverde.png?alt=media,,,,
whiteelm,inverted,Inverted Galaxy,Inverted Galaxy,"Hazy, juicy, imperial hopped up goodness!",Double IPA,,,,,8,25,,On Tap . 16oz 4-Pack Can,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fwhiteelm%2Fbeers%2Finverted%2Finverted.png?alt=media,,,,
whiteelm,chocolate,Chocolate Hazelnut Oatmeal Stout,Chocolate Hazelnut Oatmeal Stout,"Double Oatmeal Stout made with Cacao Nibs, Hazelnut Flour, Milk Chocolate, Oats, and Lactose.",Oatmeal Stout,,,,,8,n/a,,On Tap . 16oz 4-Pack Can,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fwhiteelm%2Fbeers%2Fchocolate%2Fchocolate.png?alt=media,,,,
whiteelm,deadlines,Deadlines,Deadlines,Fruit IPA made with copious amounts of pineapple and El Dorado and Citra hops.,IPA,,,,,7,n/a,,On Tap . 16oz 4-Pack Can,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fwhiteelm%2Fbeers%2Fdeadlines%2Fdeadlines.png?alt=media,,,,
whiteelm,skinny-leg,Skinny Leg,Skinny Leg,"This juicy and aromatic beer is brewed with Simcoe, Mosaic, Amarillo & Citra hops and balanced with pilsen malt and white wheat.",IPA,,,,,7.8,n/a,,On Tap . 12oz 6-Pack Can,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fwhiteelm%2Fbeers%2Fskinny-leg%2Fskinny-leg.png?alt=media,,,,
backswing,wheat,Wheat,Wheat,"Brewed with German wheat, malt, and finished with an American ale yeast. It’s clean and crisp with a touch of orange flavor from the Pacifica hops we use to brew this unfiltered beer.",Wheat Ale,,,,,5.1,15,,"On Tap, 6-Pack Cans",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fbackswing%2Fbeers%2Fwheat%2Fwheat.png?alt=media,,,,
backswing,brown,Brown,Brown,"Styled after the English brown, Backswing Brown is a great, year-round ale. With hints of chocolate, this easy drinking brown ale is dark in color and rich in flavor.",Brown Ale,,,,,6.5,34,,"On Tap, 6-Pack Cans",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/static%2Femptycan.png?alt=media,,,,
backswing,backspin,Backspin,Backspin,A wheat beer- email us your description.,Wheat,,,,,5.3,10,,"On Tap, 6-Pack Cans",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/static%2Femptycan.png?alt=media,,,,
backswing,scottish,Scottish Ale,Scottish Ale,"Having toffee and roasted malt flavors combined with a slight hop presence, our take on the '80 Schilling' will transport you to the deep Lochs and rolling green hills of the Scottish Highlands. Enjoy this malt forward, clean finishing, easy drinking ale that is perfect for mild weather or long cool nights with friends.",Scottish Ale,,,,,5.8,21,,"On Tap, 6-Pack Cans",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/static%2Femptycan.png?alt=media,,,,
backswing,ipa,IPA,IPA,"An English-style IPA. Heavy-handed on the hops, but tempered with a malty-sweet caramel finish - Dry-hopped and flavorful, with our IPA it's all in the Backswing.",IPA,,,,,8,85,,"On Tap, 6-Pack Cans",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fbackswing%2Fbeers%2Fipa%2Fipa.png?alt=media,,,,
backswing,apple-wheat,Apple Wheat Ale,Apple Wheat Ale,Apple juice from the Pacific Northwest combined with unfiltered wheat beer to form a unique cider-beer hybrid.,Fruit Wheat Ale,,,,,5.3,10,,"On Tap, 6-Pack Cans",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fbackswing%2Fbeers%2Fapple-wheat%2Fapple-wheat.PNG?alt=media,,,,
backswing,citra-kolsch,Citra Kolsch,Citra Kolsch,"Traditional style Kolsch with a twist: Americanized with Citra hops, light-bodies, light in color, with a hint of tropical fruits. ",Kolsch,,,,,5.2,22,,"On Tap, 6-Pack Cans",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fbackswing%2Fbeers%2Fcitra-kolsch%2Fcitra-kolsch.PNG?alt=media,,,,
backswing,oatmeal-stout,Oatmeal Stout,Oatmeal Stout,"Dark, roasty, and light-bodied. Made with chocolate and roasted malts to produce flavors like chocolate and coffee.",Stout,,,,,5.5,29,,"On Tap, 6-Pack Cans",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fbackswing%2Fbeers%2Foatmeal-stout%2Foatmeal-stout.PNG?alt=media,,,,
backswing,bugeater,Bugeater Goalden Ale,Bugeater Goalden Ale,"A light, grainy-sweet Golden Ale is brewed in support of Omaha's soccer team, Bugeaters FC.",Ale,,,,,5.2,17,,"On Tap, 6-Pack Cans",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fbackswing%2Fbeers%2Fbugeater%2Fbugeater.PNG?alt=media,,,,
luckybucket,belly-flop,Belly Flop Strawberry Blonde Ale,Belly Flop Strawberry Blonde Ale,"The sun is shining, the skies are clear blue and you can just about smell the barbecue grill and campfire. We crafted our Strawberry Blonde Ale, Belly Flop, for these moments. A crisp, tasty golden ale with a light touch of sweet strawberry puree, it's as easy and mellow as a lazy summer afternoon.",Strawberry Blonde Ale,,,,,4.5,10,,"On Tap, 12oz 6-Pack",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fluckybucket%2Fbeers%2Fbelly-flop%2Fbelly-flop.png?alt=media,,,,
luckybucket,wickedjoe,Wicked Joe,Wicked Joe,"This Imperial Oatmeal Stout has taken a turn for the wicked. After brooding in whiskey barrels and conspiring with coffee and vanilla, Certified Evil has emerged a seductive and menacing fiend.",Coffee Vanilla Stout,,,,,9.1,n/a,,"On Tap, 12oz 6-Pack",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fluckybucket%2Fbeers%2Fwickedjoe%2Fwickedjoe.PNG?alt=media,,,,
luckybucket,snowsuit,Snowsuit,Snowsuit,"Snowsuit ale is a spiced Belgian Abbey ale, brewed in the traditional style that goes back centuries, but with a fresh spin. Lucky Bucket uses a blend of six spices to perfectly accent fruity notes drived from Traditional Belgian Trappist yeast, bringing out the flavors of the season.",Spiced Belgian Abbey Ale,,,,,5.3,n/a,,"On Tap, 12oz 6-Pack",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fluckybucket%2Fbeers%2Fsnowsuit%2Fsnowsuit.PNG?alt=media,,,,
luckybucket,jug,Jug Thumper,Jug Thumper,"This burly brown ale is serving up rich, malty caramel with a shot of cocoa. Drink and be satisfied. Fortune favors the bold.",Cocoa Brown Ale,,,,,5.5,n/a,,"On Tap, 12oz 6-Pack",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fluckybucket%2Fbeers%2Fjug%2Fjug.PNG?alt=media,,,,
luckybucket,tropicwonder,Tropic Wonder,Tropic Wonder,"When the sun sets, the party's just starting. A little bit of sweet and a little bit of spice is the perfect recipe for a good time. ",Mango Habanero Blonde,,,,,4,n/a,,"On Tap, 12oz 6-Pack",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fluckybucket%2Fbeers%2Ftropicwonder%2Ftropicwonder.PNG?alt=media,,,,
luckybucket,oktoberfest ,Oktoberfest ,Oktoberfest ,"Using only the finest German malt and hops for a delicious malty flavor, full body, and crisp finish, even Prince Ludwig would trade his bride for this one. ",Marzen October,,,,,5.5,17,,"On Tap, 12oz 6-Pack",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/static%2Femptycan.png?alt=media,,,,
luckybucket,evil,Certified Evil,Certified Evil,"An Imperial Oatmeal Stout that is as unrelenting in flavor as it is unapologetic in it's bravado, Certified Evil is truly a legend.",Oatmeal Stout,,,,,9.1,48*,,"On Tap, 12oz 6-Pack",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fluckybucket%2Fbeers%2Fevil%2Fevil.png?alt=media,,,,
luckybucket,groover,The Groover,The Groover,The mellow malt gets things moving while the funky hop bass line drops. Get a whiff and take a sip. Now you're in the groove! This is a smooth and hoppy IPA for your enjoyment. ,IPA,,,,,7,n/a,,"On Tap, 12oz 6-Pack",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fluckybucket%2Fbeers%2Fgroover%2Fgroover.png?alt=media,,,,
luckybucket,prohibition,Pre-Prohibition Lager,Pre-Prohibition Lager,Lucky Bucket claims this Pre-Prohibition Style lager is the smoothest most flavorful lager this side of the Mississipi. Combines 100% malted barley with the perfect amount of hops.,Amber Lager,,,,,4,n/a,,"On Tap, 12oz 6-Pack",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fluckybucket%2Fbeers%2Fprohibition%2Fprohibition.png?alt=media,,,,
luckybucket,blondeale,Blonde Ale,Blonde Ale,"A simple good, easy drinking beer, this is delicious, refreshing, and crisp. ",Light Blonde Ale,,,,,4,n/a,,"On Tap, 16oz 6-Pack",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fluckybucket%2Fbeers%2Fblondeale%2Fblondeale.png?alt=media,,,,
